district,O/S No.,O/S Amt.,CY Disb No.,CY Disb Amt.
East Garo Hills,5936,11224.48,1295,2523.2
East Jaintia Hills,2941,8251.6,892,2500.62
East Khasi Hills,72329,242432.57,17684,52626.57
Eastern West Khasi Hills,7179,9297.58,1119,2004.27
North Garo Hills,4665,9832.3,1387,2489.56
Ri Bhoi,31528,56562.45,8004,12450.8
South Garo Hills,1959,5678.14,586,1187.73
South West Garo Hills,4593,7635.47,1029,1765.14
South West Khasi Hills,3009,5369.75,686,1187.15
West Garo Hills,23790,53101.22,5014,10692.5
West Jaintia Hills,11034,28346.63,3116,6180.72
West Khasi Hills,6582,10322.75,1230,2330.89
