District,Total Minority O/S Loan Amt,Total Minority O/S Loan No.,Jains Amt,Jains No.,Zoroastrians Amt,Zoroastrians No.,Sikhs Amt,Sikhs No.,Buddhists Amt,Buddhists No.,Muslims Amt,Muslims No.,Christians Amt,Christians No.
East Garo Hills,2148.38,1042,0,0,0,1,5.83,11,29.46,3,1461.89,595,651.2,432
East Jaintia Hills,8324.62,3370,19.44,2,0,1,4.39,1,1.85,1,1168.96,228,7129.98,3137
East Khasi Hills,169914.7,43896,563.02,29,0.15,2,4754.99,791,1068.44,214,11188.05,1872,152340.05,40988
North Garo Hills,854.78,553,0,0,0,0,1.34,2,1.05,1,314.33,76,538.06,474
Ri Bhoi,31172.91,16501,372.7,16,1.28,4,171.75,38,301,34,13682.57,2502,16643.61,13907
South Garo Hills,718.28,480,0,0,0,1,2.42,3,1.03,1,72.24,13,642.59,462
West Garo Hills,22978.02,8228,0,0,0.35,2,68.55,25,42.7,17,13751.05,4229,9115.37,3955
West Jaintia Hills,24348.72,7332,209.55,4,0,2,18.33,8,0.07,1,327.64,104,23793.13,7213
West Khasi Hills,9919.23,7078,0,0,0,1,13.16,8,10.74,8,449.86,172,9445.47,6889
