district,Tot Agri Amt. (PS) NPA,Tot Agri No. (PS) NPA,Ancillary Amt,Ancillary No,Agri Infra Amt,Agri Infra No,Term Loan Amt,Term Loan No,Crop Amt,Crop No
East Garo Hills,1007.23,3097,60.79,113,368.53,1625,23.54,73,554.37,1286
East Jaintia Hills,119.77,289,0.88,1,98.6,241,9.53,22,10.76,25
East Khasi Hills,4075.71,5097,708.08,63,1050.28,704,149.22,324,2168.13,4006
Eastern West Khasi Hills,302.63,825,3.65,2,24.13,91,30.08,80,244.77,652
North Garo Hills,1754.97,4345,63.37,62,489.21,1707,3.59,6,1198.8,2570
Ri Bhoi,8098.88,14249,85.99,47,393.83,1472,104.14,355,7514.92,12375
South Garo Hills,755.04,2364,138.58,159,273.55,1244,27.58,46,315.33,915
South West Garo Hills,1553.71,4686,42.21,25,536.49,2247,32.93,67,942.08,2347
South West Khasi Hills,194.44,337,73.05,58,31.59,111,3.1,4,86.7,164
West Garo Hills,2882,7709,158.71,138,690.82,2960,205.76,565,1826.71,4046
West Jaintia Hills,875.1,1689,7.79,8,80.35,275,45.29,97,741.67,1309
West Khasi Hills,1794.23,3167,0.42,4,80.57,393,48.84,62,1664.4,2708
