District,Inactive CSPs,Active RuPay Card in PMJDY,First Time Active RuPay Card,Aadhaar Authenticated SB Accounts,RuPay Card Issued in KCC
East Garo Hills,7,2818,2385,46946,1244
East Jaintia Hills,18,17714,9041,9700,31
East Khasi Hills,135,77443,93232,187367,5657
Eastern West Khasi Hills,17,12335,3802,5513,745
North Garo Hills,13,9686,8245,53192,495
Ri Bhoi,23,22030,6841,29985,6633
South Garo Hills,11,1833,1273,29223,37
South West Garo Hills,12,4697,3199,73045,929
South West Khasi Hills,15,8156,118,10099,359
West Garo Hills,51,16903,10523,192939,3274
West Jaintia Hills,23,12891,3449,38673,1352
West Khasi Hills,24,12587,3802,14793,2287
