District,PMAY O/S Amt,PMAY O/S No.,PMAY Current Year Disbursed Amt,PMAY Current Year Disbursed No.,PMAY Eligible Housing Loan O/S Amt,PMAY Eligible Housing Loan O/S No.,Rural Housing Loan O/S Amt,Rural Housing Loan O/S No.,Housing Loan O/S Amt (NPS),Housing Loan O/S No. (NPS),Housing Loan O/S Amt (PS),Housing Loan O/S No. (PS)
East Garo Hills,6.68,1,0,0,6.68,1,88.51,12,1224.32,95,777.09,80
East Jaintia Hills,0,0,0,0,29.8,6,2260.75,108,1721.5,46,565.99,52
East Khasi Hills,1490.72,114,15,1,1363.01,106,14783.3,881,96715.89,3976,33326.66,5541
North Garo Hills,0,0,0,0,0,0,1077.79,108,731.52,83,789.42,113
Ri Bhoi,340.93,24,0,0,336.09,26,31226.23,2197,23408.19,1566,12540.02,999
South Garo Hills,0,0,0,0,0,0,145.75,7,840.54,65,522.14,64
West Garo Hills,68.55,10,0,0,67,9,2472,247,14084.8,983,7307.52,687
West Jaintia Hills,109.92,24,0,0,31.06,11,1640.63,108,4422.23,188,5195.83,435
West Khasi Hills,26.35,8,0,0,21.49,7,489.26,41,660.26,49,1723.39,155
