District,Total Minority Disbursement Amt,Total Minority Disbursement No.,Jains Amt,Jains No.,ANS Amt. ZORASTRI,No. TRIANS ZORAS,Sikhs Amt,Sikhs No.,Buddhists Amt,Buddhists No.,Muslims Amt,Muslims No.,Christians Amt,Christians No.
East Garo Hills,837.77,429,0,0,0,0,0.5,1,0,0,722.22,314,115.05,114
East Jaintia Hills,2353.88,816,0,0,0,0,75,1,0,0,483.06,85,1795.82,730
East Khasi Hills,26949.55,9318,830.91,11,0.51,1,1818.71,236,188.61,39,2886.74,454,21224.07,8577
North Garo Hills,165.14,171,0,0,0,0,0.98,1,1.05,1,60.74,18,102.37,151
Ri Bhoi,6222.38,2564,205,2,0.35,1,40.83,8,81.58,5,3270.44,459,2624.18,2089
South Garo Hills,155.12,196,0,0,0,0,1.13,2,1.03,1,21.76,5,131.2,188
West Garo Hills,5780.99,1794,0,0,0.35,1,18.95,7,15.93,7,4176.32,1005,1569.44,774
West Jaintia Hills,4405.81,1490,205,2,0,0,6,1,0,0,36.22,9,4158.59,1478
West Khasi Hills,2061.21,1296,0,0,0,0,0,0,1.02,5,86.36,70,1973.83,1221
