District,Current Year Disbursement No.,Current Year Disbursement Amt,Outstanding No.,Outstanding Amt
East Garo Hills,179,94.43,489,314.58
East Jaintia Hills,0,0,1,0.27
East Khasi Hills,144,77.32,406,139.06
Eastern West Khasi Hills,1,0.66,26,6.43
North Garo Hills,0,0,87,93.47
Ri Bhoi,924,387.24,3543,912.79
South Garo Hills,0,0,21,6.89
South West Garo Hills,8,4.39,281,128.35
South West Khasi Hills,0,0,3,0.97
West Garo Hills,1935,849.59,6174,2202.89
West Jaintia Hills,286,128.73,511,241.8
West Khasi Hills,1,3,70,132.48
