District,SHG NPA Amt,SHG NPA No.,SHG O/S Amt,SHG O/S No.,Credit Current Amount FY Linked,Credit Linked No. (Current FY),Savings Current Amount FY Linked,Savings Linked No. (Current FY),Credit During Amount Quarter the Linked,Credit Linked No. (Quarter),Linked Quarter During the Amount Savings,Savings Linked No. (Quarter)
East Garo Hills,2.39,10,213.78,153,387.18,228,0.93,82,165.6,96,0.37,45
East Jaintia Hills,0.35,6,2872.29,1596,281,151,1.85,147,125.5,66,0.72,81
East Khasi Hills,0.79,38,4823.69,2881,884.35,458,26.02,415,475.69,255,3.32,203
North Garo Hills,4.66,15,312.05,244,420.24,264,4.97,157,209.68,131,3.85,103
Ri Bhoi,3.63,97,2728.47,1825,286.21,119,15.1,191,108.07,51,5.76,93
South Garo Hills,8.32,53,287.96,255,123.35,87,15.12,98,70.08,72,1.95,71
West Garo Hills,2.11,118,2801.01,2073,1057.69,511,20.66,490,565.03,242,7.32,282
West Jaintia Hills,1.05,24,3244.34,1762,522.71,199,5.56,334,255.57,93,1.33,137
West Khasi Hills,0.81,34,2429.55,1145,219.75,79,36.66,99,110.92,38,0.68,38
