district,Deposit,Advance,CD ratio Norm 60%,KCC Sanctioned,% of Agri. Adv to NBC 18%,Total Priority Sector Advances,% of PS Advance to NBC Norm 40%
Bishnupur,19165.68,17927.11,93.54,2851.14,22,11800.37,66
Chandel,10153.42,7799.02,76.81,646.56,3,2019.39,26
Churachandpur,53347.31,33812.42,63.38,10367.36,10,17393.18,51
Imphal East,84423.08,48432.42,57.37,2864.30,14,27328.66,56
Imphal West,672069.86,260148.24,38.71,11469.79,8,139769.19,54
Jiribam,3567.00,685.00,19.20,14.55,28,437.26,64
Kakching,9788.83,12411.34,126.79,579.70,17,8375.56,67
Kamjong,582.00,726.42,124.81,0.00,0,99.32,14
Kangpokpi,13852.45,12131.91,87.58,701.06,17,4910.64,40
Noney,1342.77,1085.74,80.86,5.97,6,342.39,32
Pherzawl,30.00,301.43,1004.77,0.00,0,0.00,0
Senapati,26364.28,21106.61,80.06,3741.85,9,9254.73,44
Tamenglong,9865.63,2630.10,26.66,12.55,32,2370.89,90
Tengnoupal,7272.06,6815.36,93.72,670.27,13,1763.85,26
Thoubal,23883.77,20311.11,85.04,4392.18,20,10703.56,53
Ukhrul,18651.83,6672.25,35.77,132.96,13,3262.04,49
