District,Noof SHGsformed,Noofwomen SHGs,Noof SHGstakenupeconomicactivities
Bishnupur,3570,3159,3539
Chandel,773,696,382
Churachandpur,2327,2193,1968
Imphal East,3616,3276,3258
Imphal West,7435,6469,6557
Jiribam,10,0,0
Kakching,505,473,355
Kamjong,8,7,8
Kangpokpi,531,511,469
Noney,520,420,470
Pherzawl,0,0,0
Senapati,3381,3260,2986
Tamenglong,595,482,515
Tengnoupal,808,728,835
Thoubal,5572,5193,4803
Ukhrul,1625,1489,1596
