district,Lead Bank,Dateof DCC Meeting 1st Qtr.,2nd Qtr.,3rd Qtr.,4th Qtr.,Datesof DLRC Meeting 1st Qtr.
Bishnupur,,18.12.2017,18.12.2017,,,18.12.2017
Chandel,,15.12.2017,15.12.2017,3.02.2018,26.05.2018,15.12.2017
Churachandpur,,11.08.17,07.02.2018,07.02.2018,,11.08.17
Imphal East,U B I,30.01.2018,30.01.2018,30.01.2018,28.06.2018,30.01.2018
Imphal West,,11.09.17,29.12.2017,03.02.2018,28.06.2018,11.09.17
Jiribam,,,,,,
Kakching,,29.08.17,28.12.2017,31.01.2018,20.06.2018,29.08.17
Kamjong,,11.08.17,24.01.2018,24.01.2018,,11.08.17
Kangpokpi,,29.12.2017,29.12.2017,30.01.208,29.06.2018,29.12.2017
Noney,,29.09.2017,11.12.2017,31.01.2018,,29.09.2017
Pherzawl,,,,,,
Senapati,,20.12.2017,20.12.2017,07.02.2018,20.06.2018,20.12.2017
Tamenglong,,28.08.17,01.12.2017,,,28.08.17
Tengnoupal,,28.09.2017,13.12.2017,30.01.2018,,28.09.2017
Thoubal,S B I,30.08.17,27.12.2017,6.02.2018,19.06.2018,30.08.17
Ukhrul,,07.12.2017,07.12.2017,,,07.12.2017
