District,Lead Bank Allottedto,No. ofvillages,No. ofhouse – holds,No. ofhouseholdscoveredbyopeningbankaccounts (No. ofaccountsopened),No. of KCC issued
Bishnupur,,48,44891,266690,8102
Chandel,,447,29097,85129,1635
Churachandpur,,613,49916,245059,4455
Imphal East,a di n I of k n a B d e nit U,195,91806,232417,7436
Imphal West,,150,111393,925826,22038
Jiribam,,,,,54
Kakching,,,,,1092
Kamjong,,,,,0
Kangpokpi,,,,,2742
Noney,,,,,17
Pherzawl,,,,,0
Senapati,,934,34487,208252,5660
Tamenglong,,171,24477,65934,134
Tengnoupal,,,,,1147
Thoubal,a di n I of k n a B e at St,128,85295,442738,9265
Ukhrul,,198,35790,230253,589
