District,claims_paid_no,claims_rejected_no,claims_under_process_no,claims_pending_no,claims_total_no,claims_amount_crore
Agra,815.0,56.0,3.0,8.0,882.0,1630.0
Aligarh,750.0,35.0,1.0,5.0,791.0,1500.0
Ambedkar Nagar,185.0,24.0,1.0,1.0,211.0,370.0
Amethi,97.0,10.0,0.0,107.0,194.0,
Amroha,496.0,25.0,1.0,522.0,992.0,
Auraiya,137.0,8.0,1.0,7.0,153.0,274.0
Ayodhya,451.0,41.0,0.0,5.0,497.0,902.0
Baghpat,183.0,5.0,0.0,188.0,366.0,
Bahraich,295.0,30.0,1.0,6.0,332.0,590.0
Ballia,221.0,9.0,0.0,2.0,232.0,442.0
Balrampur,85.0,3.0,0.0,88.0,170.0,
Banda,193.0,28.0,2.0,2.0,225.0,386.0
Barabanki,711.0,53.0,2.0,5.0,771.0,1422.0
Basti,136.0,7.0,0.0,143.0,272.0,
Bhadohi,170.0,18.0,1.0,2.0,191.0,340.0
Bijnor,435.0,22.0,3.0,2.0,462.0,870.0
Budaun,267.0,14.0,0.0,1.0,282.0,534.0
Bulandshahr,418.0,35.0,3.0,15.0,471.0,836.0
Chandauli,155.0,7.0,1.0,163.0,310.0,
Chitrakoot,38.0,7.0,0.0,45.0,76.0,
Deoria,180.0,8.0,0.0,2.0,190.0,360.0
Etah,548.0,28.0,0.0,1.0,577.0,1096.0
Farrukhabad,523.0,33.0,1.0,3.0,560.0,1046.0
Fatehpur,238.0,26.0,0.0,264.0,476.0,
Gautam Buddha Nagar,314.0,11.0,0.0,4.0,329.0,628.0
Ghaziabad,713.0,21.0,1.0,8.0,743.0,1426.0
Ghazipur,250.0,16.0,1.0,267.0,500.0,
Gonda,198.0,23.0,0.0,9.0,230.0,396.0
Gorakhpur,383.0,19.0,0.0,6.0,408.0,766.0
Hamirpur,78.0,13.0,0.0,9.0,100.0,156.0
Hapur,154.0,4.0,0.0,1.0,159.0,308.0
Hardoi,453.0,26.0,0.0,2.0,481.0,906.0
Hathras,82.0,6.0,0.0,88.0,164.0,
Jalaun,187.0,18.0,1.0,2.0,208.0,374.0
Jaunpur,249.0,14.0,2.0,265.0,498.0,
Kannauj,199.0,17.0,0.0,216.0,398.0,
Kanpur Dehat,176.0,23.0,1.0,200.0,352.0,
Kanpur Nagar,661.0,42.0,1.0,7.0,711.0,1322.0
Kaushambi,106.0,12.0,1.0,119.0,212.0,
Kheri,663.0,64.0,7.0,17.0,751.0,1326.0
Kushi Nagar,169.0,5.0,1.0,4.0,179.0,338.0
Lalitpur,52.0,3.0,0.0,1.0,56.0,104.0
Lucknow,1011.0,29.0,4.0,10.0,1054.0,2022.0
Mahoba,142.0,20.0,2.0,164.0,284.0,
Mainpuri,253.0,30.0,2.0,285.0,506.0,
Mau,131.0,3.0,0.0,1.0,135.0,262.0
Meerut,772.0,29.0,2.0,5.0,808.0,1544.0
Moradabad,854.0,36.0,4.0,894.0,1708.0,
Pratapgarh,376.0,32.0,2.0,410.0,752.0,
Prayagraj,690.0,59.0,1.0,4.0,754.0,1380.0
Rae Bareli,505.0,32.0,0.0,3.0,540.0,1010.0
Rampur,477.0,32.0,2.0,5.0,516.0,954.0
Saharanpur,559.0,31.0,3.0,6.0,599.0,1118.0
Sambhal,350.0,36.0,4.0,3.0,393.0,700.0
Sant Kabeer Nagar,52.0,1.0,0.0,53.0,104.0,
Shahjahanpur,484.0,55.0,1.0,540.0,968.0,
Shamli,163.0,10.0,1.0,2.0,176.0,326.0
Shravasti,54.0,11.0,0.0,2.0,67.0,108.0
Siddharth Nagar,60.0,3.0,0.0,63.0,120.0,
Sitapur,490.0,44.0,4.0,5.0,543.0,980.0
Sonbhadra,137.0,26.0,0.0,7.0,170.0,274.0
Sultanpur,363.0,37.0,1.0,2.0,403.0,726.0
Unnao,415.0,32.0,1.0,448.0,830.0,
Varanasi,395.0,17.0,3.0,8.0,423.0,790.0
