District,sc_st_loans,sc_st_amount,women_loans,women_amount
Agra,402.0,2151.86,673.0,82.82
Aligarh,307.0,1650.34,390.0,46.19
Ambedkar Nagar,193.0,723.31,95.0,8.15
Amethi,91.0,671.65,68.0,4.62
Amroha,56.0,12.21,56.0,5.25
Auraiya,53.0,185.09,33.0,3.25
Ayodhya,7830.0,35062.68,176.0,21.5
Azamgarh,1068.0,3356.75,106.0,10.02
Baghpat,49.0,9.42,49.0,5.65
Bahraich,98.0,439.25,,
Ballia,213.0,752.62,83.0,7.5
Balrampur,112.0,317.32,29.0,1.95
Banda,49.0,138.67,48.0,3.86
Barabanki,172.0,1200.19,121.0,12.28
Bareilly,301.0,976.62,319.0,29.57
Basti,216.0,819.74,66.0,8.56
Bhadohi,328.0,942.82,,
Bijnor,254.0,1021.42,214.0,14.57
Budaun,198.0,658.72,124.0,6.09
Bulandshahr,223.0,986.98,244.0,20.49
Chandauli,195.0,524.14,70.0,6.44
Chitrakoot,27.0,93.0,8.0,0.42
Deoria,214.0,969.5,91.0,10.9
Etah,27.0,222.1,73.0,7.8
Etawah,40.0,137.17,80.0,9.26
Farrukhabad,89.0,361.5,123.0,9.77
Fatehpur,139.0,874.72,98.0,8.34
Firozabad,157.0,853.96,110.0,8.76
Gautam Buddha Nagar,262.0,3514.74,340.0,52.8
Ghaziabad,408.0,3331.76,564.0,69.48
Ghazipur,770.0,2655.98,106.0,8.16
Gonda,193.0,573.84,81.0,5.71
Gorakhpur,534.0,2825.37,362.0,40.11
Hamirpur,26.0,191.3,19.0,2.19
Hapur,34.0,8.82,34.0,6.57
Hardoi,155.0,771.98,,
Hathras,98.0,379.45,91.0,9.73
Jalaun,26.0,125.85,53.0,5.63
Jaunpur,701.0,2020.12,,
Jhansi,273.0,665.53,,
Kannauj,98.0,382.22,,
Kanpur Dehat,80.0,283.69,,
Kanpur Nagar,446.0,4010.52,,
Kaushambi,94.0,364.0,,
Kheri,135.0,571.61,,
Kushi Nagar,202.0,584.21,,
Lalitpur,2663.0,6271.43,,
Lucknow,1015.0,6456.11,,
Maharajganj,151.0,576.37,,
Mahoba,34.0,73.95,,
Mainpuri,128.0,585.8,,
Mathura,204.0,778.83,,
Mau,435.0,1103.03,,
Meerut,389.0,2077.0,,
Mirzapur,138.0,566.81,,
Moradabad,475.0,2302.15,,
Muzaffarnagar,422.0,1807.47,,
Pratapgarh,132.0,543.12,,
Prayagraj,465.0,1951.56,,
Rae Bareli,8481.0,39378.25,,
Rampur,199.0,482.06,,
Saharanpur,261.0,898.04,,
Sambhal,79.0,300.14,,
Sant Kabeer Nagar,101.0,406.94,,
Shahjahanpur,86.0,288.53,,
Shravasti,36.0,75.31,,
Siddharth Nagar,2989.0,7652.62,,
Sitapur,4265.0,13102.85,,
Sonbhadra,143.0,604.12,,
Sultanpur,118.0,607.27,,
Unnao,151.0,808.54,,
Varanasi,23118.0,98370.96,,
