District,claims_paid_no,claims_rejected_no,claims_under_process_no,claims_pending_no,claims_total_no,claims_amount_crore
Agra,159.0,73.0,1.0,10.0,243.0,317.0
Aligarh,153532.0,482855.0,636387.0,,,
Ambedkar Nagar,28.0,3.0,0.0,2.0,33.0,56.0
Amethi,34.0,6.0,0.0,2.0,42.0,67.0
Amroha,37.0,5.0,0.0,1.0,43.0,74.0
Auraiya,26493.0,100415.0,126908.0,,,
Ayodhya,135242.0,515235.0,650477.0,,,
Azamgarh,72160.0,375045.0,447205.0,,,
Baghpat,65.0,9.0,0.0,3.0,77.0,130.0
Bahraich,44.0,25.0,0.0,5.0,74.0,88.0
Ballia,23.0,5.0,0.0,3.0,31.0,46.0
Balrampur,3.0,0.0,0.0,3.0,6.0,
Banda,39.0,21.0,1.0,1.0,62.0,78.0
Barabanki,57.0,35.0,0.0,9.0,101.0,113.0
Bareilly,171139.0,749405.0,920544.0,,,
Basti,63704.0,313464.0,377168.0,,,
Bhadohi,12.0,6.0,0.0,1.0,19.0,24.0
Bijnor,102.0,25.0,1.0,4.0,132.0,203.0
Budaun,31.0,9.0,0.0,2.0,42.0,62.0
Bulandshahr,110.0,34.0,5.0,20.0,169.0,220.0
Chandauli,76655.0,1928.0,9204.0,1542.0,39.0,54.0
Chitrakoot,9.0,6.0,0.0,2.0,17.0,18.0
Deoria,20.0,1.0,0.0,1.0,22.0,40.0
Etah,36.0,18.0,0.0,15.0,69.0,72.0
Etawah,45.0,6.0,0.0,4.0,55.0,90.0
Farrukhabad,39.0,18.0,0.0,11.0,68.0,78.0
Fatehpur,47.0,11.0,0.0,2.0,60.0,92.0
Firozabad,71175.0,277563.0,348738.0,,,
Gautam Buddha Nagar,78.0,19.0,1.0,8.0,106.0,156.0
Ghaziabad,164799.0,415102.0,579901.0,,,
Ghazipur,68883.0,301744.0,370627.0,,,
Gonda,23.0,11.0,0.0,3.0,37.0,46.0
Gorakhpur,49.0,13.0,1.0,1.0,64.0,98.0
Hamirpur,17.0,4.0,3.0,4.0,28.0,34.0
Hapur,34.0,8.0,0.0,4.0,46.0,66.0
Hardoi,54.0,36.0,1.0,15.0,106.0,107.0
Hathras,23.0,33.0,1.0,1.0,58.0,46.0
Jalaun,53.0,25.0,2.0,3.0,83.0,105.0
Jaunpur,45.0,9.0,0.0,5.0,59.0,90.0
Jhansi,33.0,14.0,0.0,5.0,52.0,66.0
Kannauj,32.0,25.0,0.0,8.0,65.0,64.0
Kanpur Dehat,36.0,1.0,0.0,1.0,38.0,72.0
Kanpur Nagar,185.0,39.0,1.0,12.0,237.0,369.0
Kasganj,49525.0,162453.0,211978.0,,,
Kaushambi,19.0,4.0,0.0,0.0,23.0,38.0
Kheri,87.0,25.0,1.0,9.0,122.0,171.0
Kushi Nagar,9.0,6.0,0.0,4.0,19.0,18.0
Lalitpur,15.0,2.0,0.0,0.0,17.0,29.0
Lucknow,230.0,81.0,3.0,29.0,343.0,459.0
Mahoba,25.0,25.0,0.0,2.0,52.0,50.0
Mainpuri,82.0,11.0,0.0,4.0,97.0,163.0
Mathura,101.0,26.0,1.0,6.0,134.0,201.0
Mau,17.0,5.0,0.0,0.0,22.0,34.0
Meerut,161.0,32.0,0.0,8.0,201.0,319.0
Mirzapur,91540.0,375444.0,466984.0,,,
Moradabad,72.0,9.0,0.0,3.0,84.0,141.0
Muzaffarnagar,80275.0,352252.0,432527.0,,,
Pilibhit,59.0,13.0,1.0,3.0,76.0,118.0
Pratapgarh,37.0,3.0,0.0,1.0,41.0,73.0
Prayagraj,183534.0,1037387.0,1220921.0,,,
Rae Bareli,75.0,11.0,2.0,5.0,93.0,148.0
Rampur,53.0,6.0,0.0,1.0,60.0,106.0
Saharanpur,89.0,22.0,2.0,9.0,122.0,176.0
Sambhal,8.0,2.0,1.0,1.0,12.0,16.0
Sant Kabeer Nagar,4.0,1.0,1.0,0.0,6.0,8.0
Shahjahanpur,64.0,11.0,0.0,1.0,76.0,128.0
Shamli,31.0,17.0,1.0,1.0,50.0,60.0
Shravasti,114073.0,2709.0,8753.0,717.0,11.0,18.0
Siddharth Nagar,9.0,0.0,0.0,0.0,9.0,18.0
Sitapur,62.0,30.0,1.0,5.0,98.0,124.0
Sonbhadra,79126.0,2792.0,10420.0,1085.0,66.0,69.0
Sultanpur,34.0,2.0,1.0,0.0,37.0,68.0
Unnao,50.0,19.0,0.0,9.0,78.0,100.0
Varanasi,76.0,13.0,0.0,10.0,99.0,150.0
