District,rural_no,urban_no,male_no,female_no,total_pmjdy_no,active_no,balance_amt_crore,zero_balance_no,rupay_issued_no,rupay_active_no,active_pct,rupay_active_pct
Agra,28.0,7.98,907.54,780839.0,1400179.0,1361854.0,413.08,107202.0,1076917.0,1110183.0,81.52,79.08
Aligarh,17.0,3.87,659.79,600217.0,1034957.0,976201.0,290.3,107627.0,805619.0,795128.0,81.45,82.53
Ambedkar Nagar,43.0,12.25,363.21,540337.0,1045776.0,999459.0,350.41,67144.0,917853.0,873318.0,87.38,91.83
Amethi,31.0,7.43,147.5,219141.0,416861.0,382563.0,217.62,16439.0,333477.0,361543.0,94.51,87.17
Amroha,278605.0,142674.0,179194.0,242085.0,421279.0,401058.0,213.77,26818.0,321278.0,301757.0,75.24,80.11
Auraiya,6.0,0.5,336.48,,,,,,,,,
Ayodhya,28.0,2.56,505.85,536644.0,997569.0,932893.0,418.62,49891.0,866558.0,843138.0,90.38,92.89
Azamgarh,273709.4,41793.48,15.27,856569.0,1448711.0,1368003.0,486.16,193124.0,669896.0,1113197.0,81.37,48.97
Baghpat,157317.0,70988.0,97228.0,131077.0,228305.0,194767.0,130.34,12633.0,182177.0,170193.0,87.38,93.54
Bahraich,167955.11,47823.95,28.47,,,,,,,,,
Ballia,806949.0,426812.0,533350.0,700411.0,1233761.0,1166236.0,444.94,175449.0,924067.0,905192.0,77.62,79.23
Balrampur,382368.0,79498.0,209126.0,252740.0,461866.0,422146.0,191.95,24054.0,278704.0,383484.0,90.84,66.02
Banda,3.0,0.34,647.54,228933.0,460564.0,346526.0,175.44,26356.0,150432.0,338635.0,97.72,43.41
Barabanki,1.0,0.49,269.9,,,,,,,,,
Bareilly,1048097.0,603075.0,768843.0,882329.0,1651172.0,1588525.0,501.09,83570.0,1384001.0,1410635.0,88.8,87.12
Bhadohi,653473.0,156837.0,339610.0,470700.0,810310.0,715909.0,285.78,108102.0,496832.0,634090.0,88.57,69.4
Bijnor,30.0,4.37,647.85,,,,,,,,,
