District,Lead Bank,Dateof DCC Meeting 1st Qtr,2nd Qtr,3rd Qtr,4th Qtr,Datesof DLRC Meeting 1st Qtr
Bishnupur,,23.09.16,27.12.16,17.03.17,22.05.17,23.09.16
Chandel,,19.10.16,18.01.17,,,19.10.16
Churachandpur,,14.09.16,24.01.17,27.03.17,,14.09.16
Imphal East,U B I,26.09.16,22.03.17,22.03.17,,26.09.16
Imphal West,,07.10.16,06.01.17,28.03.17,,07.10.16
Senapati,,27.09.16,24.02.17,24.02.17,,27.09.16
Tamenglong,,09.09.16,17.04.17,17.04.17,,09.09.16
Thoubal,S B I,26.09.16,11.03.17,11.03.17,,26.09.16
Ukhrul,,27.07.16,07.04.17,07.04.17,,27.07.16
