District,Noof SHGsformed,Noofwomen SHGs,Noof SHGstakenupeconomicactivities
Bishnupur,2755,2438,2731
Chandel,773,696,382
Churachandpur,2311,2178,1954
Imphal East,3086,2796,2780
Imphal West,7038,6124,6207
Jiribam,0,0,0
Kakching,257,240,181
Kamjong,8,7,8
Kangpokpi,462,445,408
Noney,430,348,388
Pherzawl,0,0,0
Senapati,3347,3227,2956
Tamenglong,595,482,515
Tengnoupal,689,621,711
Thoubal,5343,4980,4605
Ukhrul,1438,1317,1412
