District,SL. NO,Deposit,Advance,CD ratio Norm 60%,Crop Loan/KCC,% of Agri. Advto NBC 18%,Total Priority Sector Advances,% of PS Advanceto NBC Norm 40%
Bishnupur,12,18068.08,13456.95,74,1571.26,26,11142.05,83
Chandel,3,8332.70,6204.77,74,103.79,4,3011.17,49
Churachandpur,5,47501.37,23509.74,49,539.11,16,14676.10,62
Imphal East,10,72447.18,34268.97,47,2085.71,16,24607.41,72
Imphal West,9,556917.77,202193.52,36,6520.28,12,126632.74,63
Jiribam,11,3666.64,339.05,9,14.59,62,301.55,89
Kakching,2,9427.08,8136.79,86,124.60,33,5951.06,73
Kamjong,16,602.54,486.53,81,0.00,0,160.63,33
Kangpokpi,8,11363.09,10463.47,92,143.95,22,6014.94,57
Noney,14,1525.39,709.93,47,6.51,9,417.17,59
Pherzawl,6,6.93,0.00,0,0.00,0,0.00,0
Senapati,7,20954.98,15975.13,76,822.35,9,8059.44,50
Tamenglong,13,9865.01,2622.15,27,4.00,32,2362.94,90
Tengnoupal,4,7642.72,5129.72,67,83.59,19,2520.52,49
Thoubal,1,23953.28,15855.22,66,1558.11,26,10352.39,65
Ukhrul,15,17080.39,4875.01,29,67.95,17,3593.92,74
