District,Agri No.,Amt,Education No.,Housing No.,Personal Loan No.,Other NPS No.,TOTAL O/S No.,Total NPA No.,Amt. %
Aizawl,1,1603.77,1,2126,16199,22252,40579,490,0.94
Champhai,0,49.88,0,123,1078,1460,2661,36,0.50
Hnahthial,0,47.99,0,65,348,213,626,5,1.58
Khawzawl,0,11.37,0,35,557,248,840,9,0.37
Kolasib,1,66.19,0,113,1358,1386,2858,48,0.62
Lawngtlai,0,158.55,0,136,2350,1335,3821,78,1.07
Lunglei,0,475.42,1,289,3216,2626,6132,71,1.92
Mamit,0,74.99,0,69,1093,729,1891,25,1.05
Saiha,1,381.69,0,132,1533,1168,2834,125,3.78
Saitual,0,0.04,0,18,455,359,832,1,0.00
Serchhip,0,29.79,0,84,1068,633,1785,16,0.39
