district,Block Name,Sep-I No.,Amt.,Sep-G No.,Amt.,No. of Bene- ficiary,SHG No.,Amt.,No. of Bene- ficiary,Women SHG No.,Amt.,No. of Bene- ficiary
Aizawl,Tlangnuam,7,6.03,0,6.03,16,10,6.03,16,6,6.03,16
Champhai,Khawbung,0,0.00,0,0.00,0,0,0.00,0,0,0.00,0
Hnahthial,Hnahthial,0,0.00,2,0.00,0,0,0.00,0,0,0.00,0
Khawzawl,Khawzawl,2,0.00,0,0.00,0,0,0.00,0,0,0.00,0
Kolasib,N. Thingdawl,0,0.00,0,0.00,0,0,0.00,0,0,0.00,0
Lawngtlai,Sangau,0,0.00,0,0.00,0,0,0.00,0,0,0.00,0
Lunglei,W. Bunghmun,0,0.00,0,0.00,0,0,0.00,0,0,0.00,0
Mamit,Zawlnuam,0,0.00,0,0.00,0,0,0.00,0,0,0.00,0
Saiha,Tuipang,0,0.00,0,0.00,0,0,0.00,0,0,0.00,0
Saitual,Phullen,0,0.00,0,0.00,0,0,0.00,0,0,0.00,0
Serchhip,Serchhip,0,0.17,0,0.17,2,2,0.17,2,1,0.17,2
