district,Block Name,AGRI,MSME,OTHER PS,Total of PS,Loans to weaker,Non-PrioRity
Aizawl,TLANGNUAM,12014,5958,1295,19267,345,4475
Champhai,CHAMPHAI,2479,1292,183,3954,383,180
Hnahthial,HNAHTHIAL,837,531,214,1582,38,127
Khawzawl,KHAWZAWL,1549,588,107,2244,385,131
Kolasib,BILKHAWTHLIR,2742,914,697,4353,415,236
Lawngtlai,LAWNGTLAI,1333,395,164,1892,150,534
Lunglei,LUNGLEI,1726,949,358,3033,67,691
Mamit,W. PHAILENG,595,124,253,972,70,50
Saiha,SAIHA,1336,448,146,1930,160,471
Saitual,NGOPA,946,480,40,1466,244,32
Serchhip,E. LUNGDAR,1607,351,45,2003,48,0
