district,Block Name,NRLM Outstanding,Irregular,NPA,NULM Outstanding,PMEGP Outstanding,SHG Outstanding,SUI Outstanding
Aizawl,Tlangnuam,26,0,1,405,839,181,144
Champhai,Khawbung,193,15,0,0,17,183,0
Hnahthial,Hnahthial,5,0,0,2,57,74,4
Khawzawl,Khawzawl,177,3,0,2,76,172,7
Kolasib,N. Thingdawl,216,15,0,71,142,185,0
Lawngtlai,Sangau,111,11,0,0,47,65,0
Lunglei,W. Bunghmun,0,0,0,0,8,8,0
Mamit,Zawlnuam,185,35,2,58,244,158,5
Saiha,Tuipang,157,23,0,0,33,37,0
Saitual,Phullen,0,0,0,4,59,72,0
Serchhip,Serchhip,221,20,0,172,200,157,5
