district,Bank Branch,Fresh A/Cs,Renewal A/Cs,Total Eligible A/Cs,Disburse- ment Target,Outstan- ding Target
Aizawl,MCAB Centenary Mission Veng,15,11,26,37.00,37.00
Champhai,MCAB Champhai,18,14,32,46.00,46.00
Khawzawl,MCAB Khawzawl,20,21,41,62.00,62.00
Kolasib,MCAB Kolasib,2,7,9,16.00,16.00
Lawngtlai,MCAB Lawngtlai,19,15,34,49.00,49.00
Lunglei,SBI Tlabung,5,0,5,5.00,5.00
Mamit,MCAB Mamit,12,0,12,12.00,12.00
Saiha,MCAB Saiha,12,19,31,50.00,50.00
Saitual,SBI Ngopa,12,21,33,54.00,54.00
Serchhip,SBI Serchhip,5,21,26,47.00,47.00
