District,Block Name,Export Credit (PS) No.,Amt,Education (PS) No.,Housing (PS) No.,Social Infrastructure No.,Renewable Energy No.,Informal Credit No.,TOTAL No.,Loansto Weaker Section No.
Aizawl,Tlangnuam,0,2929.51,11,216,0,0,0,227,693
Champhai,Khawbung,0,272.52,0,0,0,0,0,0,129
Hnahthial,Hnahthial,0,69.18,0,13,0,0,0,13,28
Khawzawl,Khawzawl,0,219.87,1,21,0,0,0,22,119
Kolasib,N. Thingdawl,0,179.78,0,23,0,0,0,23,67
Lawngtlai,Sangau,0,153.47,0,18,0,0,0,18,94
Lunglei,W. Bunghmun,0,84.2,0,0,0,0,0,0,52
Mamit,Zawlnuam,0,387.89,0,16,0,0,0,16,76
Saiha,Tuipang,0,49.83,0,12,0,0,0,12,33
Saitual,Phullen,0,201.34,0,5,0,0,0,5,123
Serchhip,Serchhip,0,518.4,0,61,0,0,0,61,152
