district,Housing Loan (PS) O/S No.,Amt.,Housing Loan (NPS) O/S No.,Amt.,Rural Housing Loan O/S No.,Amt.,Housing Loan Eligible under No.,Amt.,Current Year Disbursed No.,Amt.,PMAY O/S No.,Amt.
Aizawl,6990,5641.76,2031,5641.76,886,5641.76,362,5641.76,53,5641.76,777,5641.76
Champhai,497,745.34,123,745.34,98,745.34,77,745.34,5,745.34,160,745.34
Hnahthial,60,335.06,65,335.06,66,335.06,14,335.06,5,335.06,42,335.06
Khawzawl,118,497.02,35,497.02,49,497.02,20,497.02,9,497.02,66,497.02
Kolasib,426,1140.08,113,1140.08,142,1140.08,64,1140.08,17,1140.08,190,1140.08
Lawngtlai,1337,684.05,136,684.05,583,684.05,45,684.05,11,684.05,118,684.05
Lunglei,1142,2128.98,289,2128.98,479,2128.98,147,2128.98,33,2128.98,349,2128.98
Mamit,298,636.58,69,636.58,205,636.58,43,636.58,3,636.58,106,636.58
Saiha,1101,686.23,132,686.23,266,686.23,48,686.23,20,686.23,95,686.23
Saitual,109,127.44,18,127.44,50,127.44,6,127.44,3,127.44,29,127.44
Serchhip,298,1714.91,84,1714.91,141,1714.91,76,1714.91,34,1714.91,273,1714.91
