District,BRANCHes Rural,Semi-Urban,Urban,Total,ATMs Rural,BCs Fixed,Other
Aizawl,17,1,124,51,4,21,0
Champhai,5,10,0,39,0,6,1
Hnahthial,2,2,0,3,0,0,2
Khawzawl,4,2,0,20,1,0,0
Kolasib,7,7,0,32,2,2,0
Lawngtlai,5,6,0,50,0,9,0
Lunglei,5,15,0,21,1,13,4
Mamit,9,4,0,36,2,1,0
Saiha,1,5,0,24,0,4,1
Saitual,4,2,0,9,1,1,0
Serchhip,9,4,0,24,1,0,0
