district,Block Name,Rural No,Urban No,Male No,Female No,Noof Zero Balance A/c,Amt Depositsheldinthe A/c,Noof Rupay Card Issued,Noof Rupay Card Activated,Noof Aadhaar Seeded
Aizawl,Tlangnuam,3298,56758,28190,31507,5714,4595.77,36430,30398,34980
Champhai,Khawbung,6375,0,2847,3528,346,324.24,1154,1154,3871
Hnahthial,Hnahthial,7436,0,4695,2741,255,374.08,3168,2595,4096
Khawzawl,Khawzawl,6314,7479,5582,8211,1597,685.55,3300,3148,8148
Kolasib,N. Thingdawl,5438,1342,2572,4208,375,368.49,2113,2110,4151
Lawngtlai,Sangau,8954,0,4289,4665,1125,323.51,2252,2252,4661
Lunglei,W. Bunghmun,947,0,441,506,206,116.44,255,255,755
Mamit,Zawlnuam,10482,0,4553,5927,821,376.39,2894,2593,6044
Saiha,Tuipang,8307,0,3936,4371,1347,375.19,1384,1384,2286
Saitual,Phullen,5695,5433,4521,6607,1088,550.94,1971,1971,6878
Serchhip,Serchhip,5907,6777,5718,6966,538,863.74,3638,3170,7911
