District,Block Name,BHIM/UPI,BHIM Aadhaar,Bharat QR Code,IMPS,Cards (Debit & Credit),USSD
Aizawl,Tlangnuam,105815310,323,472,11314776,134307,294425
Champhai,Khawbung,797,0,0,797,0,0
Hnahthial,Hnahthial,14457,0,0,1582,355,2967
Khawzawl,Khawzawl,17814,0,0,1298,1253,3685
Kolasib,N. Thingdawl,3625,0,0,3011,0,414
Lawngtlai,Sangau,526,0,0,526,0,0
Lunglei,W. Bunghmun,266,0,0,266,0,0
Mamit,Zawlnuam,39434,0,0,1776,1423,6714
Saiha,Tuipang,270,0,0,270,0,0
Saitual,Phullen,800,0,0,840,500,0
Serchhip,Serchhip,43609,0,0,3185,1676,12173
