district,Block Name,KCCsfor AH and Allied Activities No.,Amt.,Farm Production No.,Dairy No.,Farm Mechanisation No.,Poultry No.,Fisheries No.,Godown No.,Clinic No.,Others No.,TOTAL No.
Aizawl,Tlangnuam,3646,11274.54,0,12,12,37,1,4,0,3249,6961
Champhai,Khawbung,328,1248.19,0,0,0,0,0,0,0,805,1133
Hnahthial,Hnahthial,446,882.03,0,0,0,0,0,0,0,337,783
Khawzawl,Khawzawl,831,2263.13,0,2,18,0,1,0,0,1271,2123
Kolasib,N. Thingdawl,1066,2480.99,0,1,6,1,0,0,0,997,2071
Lawngtlai,Sangau,287,755.19,0,0,0,0,2,0,0,368,657
Lunglei,W. Bunghmun,276,353.81,0,0,0,0,0,0,0,69,345
Mamit,Zawlnuam,542,1143.12,0,0,41,7,1,0,0,711,1302
Saiha,Tuipang,169,547.87,0,0,0,0,0,0,0,405,574
Saitual,Phullen,798,1374.78,0,0,5,1,0,0,0,660,1464
Serchhip,Serchhip,859,2971.70,0,3,6,2,0,0,0,1137,2007
