District,Block Name,PMJJBY,PMSBY,Enrol- mentunder APY,Total Enrol- ment
Aizawl,Tlangnuam,54653,94707,4738,154098
Champhai,Khawbung,2457,3179,177,5813
Hnahthial,Hnahthial,2409,3956,132,6497
Khawzawl,Khawzawl,3982,6015,268,10265
Kolasib,N. Thingdawl,4104,5308,377,9789
Lawngtlai,Sangau,1174,1359,44,2577
Lunglei,W. Bunghmun,746,977,75,1798
Mamit,Zawlnuam,5600,10778,208,16586
Saiha,Tuipang,1396,1780,140,3316
Saitual,Phullen,1472,936,120,2528
Serchhip,Serchhip,7240,12089,524,19853
