District,Block Name,Agriculture No.,Amt,MSME No.,Export Cr. No.,Education No.,Housing No.,Personal Loans No.,Other NPS No.,TOTAL No.
Aizawl,Tlangnuam,0,12797.66,0,0,0,199,290,3263,3752
Champhai,Khawbung,0,49.00,0,0,0,0,6,0,6
Hnahthial,Hnahthial,0,273.57,0,0,0,11,10,7,28
Khawzawl,Khawzawl,0,109.69,0,0,0,3,14,8,25
Kolasib,N. Thingdawl,0,249.00,0,0,0,10,14,5,29
Lawngtlai,Sangau,0,142.56,0,0,0,4,8,10,22
Lunglei,W. Bunghmun,0,10.00,0,0,0,0,2,0,2
Mamit,Zawlnuam,0,188.53,0,0,0,6,12,11,29
Saiha,Tuipang,0,65.50,0,0,0,2,7,0,9
Saitual,Phullen,0,46.45,0,0,0,0,7,4,11
Serchhip,Serchhip,0,384.71,0,0,0,9,28,15,52
