District,Deposit Amount (D),Advance Amount (A),Current C:D Ratio,Rural Br,Semi-Urban Br,Urban Br,Total Br,BC,Rural ATM,Semi-Urban ATM,Urban ATM,Total ATM
Senapati,27587.04,23677.52,86,11,1,0,12,13,3,6,0,9
Chandel,13751.35,10026.3,73,4,0,0,4,6,4,0,0,4
Churachandpur,60626.91,37171.8,61,8,5,0,13,24,7,17,1,25
Imphal West,412971.6,343155.7,83,14,9,56,79,55,10,0,13,23
Thoubal,30262,26527.34,88,3,11,0,14,40,88,12,104,204
Imphal East,285265.9,63128.55,22,19,0,14,33,33,1,0,0,1
Bishnupur,23163.08,22166.2,96,3,14,0,17,32,0,9,0,9
Tamenglong,11861.66,3352.19,28,2,3,0,5,9,1,0,0,1
Ukhrul,18802.25,7302.86,39,3,2,0,5,10,7,0,0,7
Kakching,13098.62,17572.72,134,1,7,0,8,22,1,0,0,1
Tengnoupal,9461.88,8893.59,94,2,4,0,6,6,0,0,0,0
Pherzawl,77.82,622.31,800,1,0,0,1,0,12,3,0,15
Kamjong,706.05,1297.24,184,1,0,0,1,0,0,2,0,2
Kangpokpi,13758.62,12024.96,87,5,0,0,5,6,3,3,0,6
Jiribam,5341.27,5678.62,106,3,0,0,3,4,16,9,0,25
Noney,1689.3,1568.73,93,3,0,0,3,5,1,5,0,6
