district,PMJDY No,PMJDY Cumml No,PMJJBY No,PMJJBY Cumml No,PMSBY No.,PMSBY Cumml No.,APY No,APY Cumml No
Bishnupur,2623,71093,266,1891,383,5611,12,486
Chandel,142,13895,11,564,2,1628,3,88
Churachandpur,2770,73936,5048,8199,4447,9781,385,917
Imphal East,2995,150365,197,4690,554,16598,51,1212
Imphal West,14514,162356,1579,8391,2251,24726,161,1896
Jiribam,0,23800,2,198,9,494,14,0
Kakching,1403,51062,81,595,467,2318,52,126
Kamjong,4,1506,1,30,0,56,75,76
Kangpokpi,4632,15159,577,666,1677,1590,98,141
Noney,182,2518,2,62,3,394,1,26
Pherzawl,0,183,0,0,0,2,0,0
Senapati,3,43003,25,1053,2,4205,3,135
Tamenglong,100,29060,3,162,11,597,3,0
Tengnoupal,154,15672,65,342,116,1215,6,30
Thoubal,9665,76919,461,740,975,2424,72,302
Ukhrul,2738,67579,16,684,11,1495,1,84
