district,Current Year Numberof Cardsissued,Current Year Limit Sanctioned,O/S Position Numberof Cardsissued,O/S Position Limit Sanctioned
Bishnupur,45,24.55,4259,1628.34
Chandel,0,0.00,140,117.26
Churachandpur,45,29.14,1314,817.08
Imphal East,153,202.73,4848,2435.49
Imphal West,79,83.54,9989,5490.99
Jiribam,0,0.00,44,12.53
Kakching,7,7.50,839,347.13
Kamjong,0,0.00,265,193.00
Kangpokpi,10,11.00,576,308.97
Noney,0,0.00,3,0.73
Pherzawl,0,0.00,0,0.00
Senapati,58,40.93,1316,846.83
Tamenglong,9,4.50,68,25.41
Tengnoupal,5,3.95,276,121.36
Thoubal,81,84.60,2526,1125.92
Ukhrul,6,2.66,372,269.18
