district,Urban Number,Urban Amount,Semi Urban Number,Semi Urban Amount,Rural Number,Rural Amount,Total Number,Total Amount
Bishnupur,0,0,332,3988.79,33,319.91,365,4308.7
Chandel,0,0,4,71.92,90,1081.77,94,1153.69
Churachandpur,0,0,426,6700.49,192,2029.27,618,8729.76
Imphal East,273,2932.69,113,149.95,325,5472.74,711,8555.38
Imphal West,3316,40963.15,696,7807.33,105,1793.64,4117,50564.12
Jiribam,0,0,0,0,9,34.05,9,34.05
Kakching,0,0,212,3195.51,0,0,212,3195.51
Kamjong,0,0,0,0,0,0,0,0
Kangpokpi,0,0,0,0,117,2107.58,117,2107.58
Noney,0,0,0,0,0,0,0,0
Pherzawl,0,0,0,0,0,0,0,0
Senapati,0,0,0,0,261,4543.36,261,4543.36
Tamenglong,0,0,4,77.13,0,0,4,77.13
Tengnoupal,0,0,23,236.42,41,536.9,64,773.32
Thoubal,0,0,171,2397.97,0,0,171,2397.97
Ukhrul,0,0,9,136.45,0,0,9,136.45
