District,CY. Sishu No.,CY.Sis Hu AMT,Sishu O/S No.,Sishu O/S Amt,CY. Kish Ore No.,CY.Ki Shor E AMT,Kishore O/S No.,Kishore O/S Amt,CY. Taru N No.,CY.Ta Run AMT,Ta,Tarun O/S Amt,Tota L Sanc A/C,TOTAL Sanc AMT,Tota L O/S A/C,TOTAL O/S AMT
Bishnupur,28,13.46,568,158.86,62,105.76,287,466.43,3,24.69,,138.84,93,143.91,873,764.13
Chandel,0,0,108,32.22,0,0,245,453.52,0,0,,42.63,0,0,359,528.37
Churachandpur,171,55.82,591,262.51,18,31.13,319,677.65,5,44.15,,359.9,194,131.1,956,1300.06
Imphal East,803,263.41,1524,496.88,144,196.7,529,894.71,19,150.82,,882.92,966,610.93,2175,2274.51
Imphal West,829,681.01,2118,1210.29,301,410.12,1248,2784.35,129,987.39,,3828.75,1259,2078.52,3841,7823.39
Jiribam,6,1.7,88,21.38,2,6.7,11,29.44,0,0,,14.7,8,8.4,102,65.52
Kakching,21,10.16,290,98.23,63,122.78,467,861.58,6,45,,293.44,90,177.94,794,1253.25
Kamjong,0,0,87,42.49,0,0,20,48.91,0,0,,0,0,0,107,91.4
Kangpokpi,0,0,66,23.87,0,0,178,505.48,1,9.5,,102.24,1,9.5,255,631.59
Noney,4,2,18,8.88,26,31.07,20,43.18,0,0,,10,30,33.07,39,62.06
Pherzawl,4,2,4,1.95,0,0,0,0,0,0,,0,4,2,4,1.95
Senapati,12,6,186,87.09,41,91.31,498,1162.82,2,10.6,,400.33,55,107.91,724,1650.24
Tamenglong,12,4.2,160,38.46,10,20.46,155,224.56,6,48,,94,28,72.66,330,357.02
Tengnoupal,25,11.25,114,42.73,24,36.6,225,317.08,4,6.94,,134.48,53,54.79,401,494.29
Thoubal,98,44.32,143,38.35,109,161.96,243,733.58,3,20.22,,106.08,210,226.5,402,878.01
Ukhrul,13,6.1,105,27.9,11,19.31,118,204.16,13,94.33,,248.43,37,119.74,257,480.49
