District,Number Of Account,Total Outstanding,Demand Raised,Recovery Amt,Recovery Pct,Overdues
Bishnupur,514,856.67,275.56,54.19,20,
Chandel,303,435.48,59.05,5.46,9,
Churachandpur,312,425.12,106.53,14.63,14,
Imphal East,460,1328.23,439.78,36.6,8,
Imphal West,769,2839.24,1379.84,88.97,6,
Jiribam,26,55.86,2.84,1.68,59,
Kakching,248,469.3,47.04,11.62,25,
Kamjong,27,61.57,7.71,1.08,14,
Kangpokpi,133,358,40.23,16.75,42,
Noney,26,46.39,6.03,0.54,9,
Pherzawl,0,0,0,0,,
Senapati,304,463.98,39.95,7.31,18,
Tamenglong,262,232.59,18.76,11.33,60,
Tengnoupal,75,104.1,13.64,2.44,18,
Thoubal,375,925.26,92.02,19.56,21,
Ukhrul,353,468.82,34.67,14.54,42,
