District,Rural,Semi-Urban,Urban,Total (R+Su+U),BC Total,ATM No Rural,Total ATM,ATM No Urban,Total (ATM No)
Bishnupur,3,14,0,17,26,3,,0,9
Chandel,4,0,0,4,6,,0,,
Churachandpur,8,5,0,13,18,7,,1,25
Imphal East,19,0,14,33,27,10,,13,23
Imphal West,14,9,56,79,50,88,,104,204
Jiribam,3,0,0,3,0,1,,0,1
Kakching,1,7,0,8,12,0,,0,9
Kamjong,1,0,0,1,0,1,,0,1
Kangpokpi,5,0,0,5,6,7,,0,7
Noney,3,0,0,3,5,1,,0,1
Pherzawl,1,0,0,1,0,0,,0,0
Senapati,11,1,0,12,10,,3,,
Tamenglong,2,3,0,5,0,0,,0,2
Tengnoupal,2,4,0,6,5,3,,0,6
Thoubal,3,11,0,14,31,16,,0,25
Ukhrul,3,2,0,5,5,1,,0,6
