district,of Amt student which OS girl,OS amt,of No student which OS girl,OS No,of student Amt which Disb girl,Disb. Amt,of No student which Disb girl,Disb. Number,of tioned student which Amt Sanc- girl,Amt tioned Sanc-,of dent which No girl Sanctioned stu-,No Sanctioned
East Garo Hills,48.62,113.27,15,36,6.48,7.03,5,6,0,0,0,0
East Jaintia Hills,76.22,177.97,35,58,3.44,9.64,4,7,1.23,4.03,1,2
East Khasi Hills,1852466.7,12356.26,2603029,2445,929.69,2843.4,637724,493,1780.62,4955.34,120,295
North Garo Hills,20.15,53.38,5,17,1.15,2.71,2,4,0,0,0,0
Ri Bhoi,619.6,1037.29,229,328,19.72,86.46,26,41,18.52,127.56,7,13
South Garo Hills,20.38,36.91,9,12,0.62,1.41,1,2,0,0,0,0
West Garo Hills,568.81,1083.02,139,258,38.25,79.82,15,39,32.79,145.34,2,9
West Jaintia Hills,233.1,441.25,83,143,1.98,7.27,4,11,0,12.51,0,4
West Khasi Hills,234.22,335.79,103,144,28.29,23.63,17,23,20.92,4.2,1,3
