District,Fourth DLRC Meeting 2023-24,Third DLRC Meeting 2023-24,Second DLRC Meeting 2023-24,First DLRC Meeting 2023-24,Fourth DCC Meeting 2023-24,Third DCC Meeting 2023-24,Second DCC Meeting 2023-24,First DCC Meeting 2023-24,Lead Name Bank
East Garo Hills,26.06.2024,22.02.2024,13.12.2023,22.08.2023,26.06.2024,22.02.2024,13.12.2023,22.08.2023,SBI
East Jaintia Hills,27.06.2024,01.03.2024,30.11.2023,09.08.2023,27.06.2024,01.03.2024,30.11.2023,09.08.2023,SBI
East Khasi Hills,09.05.2024,23.02.2024,14.12.2023,28.09.2023,09.05.2024,23.02.2024,14.12.2023,28.09.2023,SBI
Eastern West Khasi Hills,12.06.2024,14.03.2024,17.11.2023,25.09.2023,12.06.2024,14.03.2024,17.11.2023,25.09.2023,PNB
North Garo Hills,27.06.2024,21.02.2024,08.12.2023,26.09.2023,27.06.2024,21.02.2024,08.12.2023,26.09.2023,SBI
Ri Bhoi,29.05.2024,14.03.2024,19.12.2023,25.08.2023,29.05.2024,14.03.2024,19.12.2023,24.08.2023,SBI
South Garo Hills,13.06.2024,20.03.2024,22.11.2023,14.08.2023,13.06.2024,20.03.2024,22.11.2023,07.09.2023,SBI
South West Khasi Hills,14.05.2024,22.02.2024,05.12.2023,22.08.2023,14.05.2024,22.02.2024,05.12.2023,22.08.2023,SBI
West Garo Hills,20.06.2024,17.02.2024,27.11.2023,29.08.2023,20.06.2024,17.02.2024,27.11.2023,29.08.2023,SBI
West Jaintia Hills,,"and (Done
for
March
quarter)"" Dec
""20.05.2024
2024
2023",5.12.2023,19.09.2023,,"2024 2023
(Done
and
for
""20.05.2024
quarter)"" March Dec",5.12.2023,19.09.2023,SBI
West Khasi Hills,17.05.2024,21.02.2024,29.11.2023,29.08.2023,17.05.2024,21.02.2024,29.11.2023,29.08.2023,SBI
