District,Tot (PS) Amt. NPA Other,Tot (PS) No. NPA Other,Other PS Amt,Other PS No.,Social Infra Amt,Social Infra No.,Housing Amt (PS),Housing No. (PS),Education Amt (PS),Education No. (PS)
East Garo Hills,67.29,41,2.3,12,13.47,5,44.34,20,7.18,4
East Jaintia Hills,475.68,22,422.02,10,3.67,2,33.62,4,16.37,6
East Khasi Hills,2380.05,1245,1827.77,1126,42,15,281.46,31,228.82,73
North Garo Hills,211.91,87,0,0,14.86,8,182.07,75,14.98,4
Ri Bhoi,195.05,106,60.41,70,6.74,3,84.33,13,43.57,20
South Garo Hills,117.07,46,0,0,24.74,12,92.33,34,0,0
West Garo Hills,338.06,75,37.62,17,31.54,13,256.73,40,12.17,5
West Jaintia Hills,355.71,73,170.99,28,16.05,10,116.01,19,52.66,16
West Khasi Hills,101.57,24,62.73,8,2.61,1,8.94,3,27.29,12
