district,1,23,63.02,40,105.04,16,25.33,2,1.54,23,54.77,13,46.11
East Garo Hills,2,39,73.97,70,253.21,24,65.48,3,5.75,39,148.9,16,55.5
East Jaintia Hills,3,132,342.44,275,1084.28,109,406.11,5,17.31,132,545.03,69,276.16
East Khasi Hills,4,7,49.32,17,82.22,6,25.96,0,0,7,26.27,8,50.05
Easten West Khasi Hills,5,28,63.02,63,209.75,3,11.61,7,4.98,28,110.95,34,94.64
North Garo Hills,6,86,232.88,148,470.88,31,78.96,0,0,86,315.18,51,128.79
Ri Bhoi,7,25,93.16,69,258.5,8,19.55,0,0,25,76.6,39,165.69
South Garo Hills,8,48,87.67,78,229.6,10,25.02,1,2.22,48,139.22,23,68.9
South West Khasi Hills,9,12,82.19,21,69.46,2,5.2,0,0,12,38.25,8,27.7
West Garo Hills,10,278,183.58,456,1341.08,83,192,1,0.86,278,758.56,115,405.07
West Jaintia Hills,11,114,95.88,228,544.09,61,147.14,5,15.77,114,250.1,76,205.15
West Khasi Hills,12,15,98.62,34,101.94,4,11.24,0,0,15,43.25,18,56.93
