district,SHG Amt. % NPA,Amt. NPA SHG,No. NPA SHG,SHG Amt. O/S,No. O/S SHG,Credit Current Amount FY Linked,FY Linked No Credit Current,FY Amount Linked Current Savings,No FY Linked Savings Current,Credit During Amount Quarter the Linked,ter the No Linked During Credit Quar-,Linked Quarter During the Amount Savings,Linked During Savings Quarter No the
East Garo Hills,7.13,10.19,21,142.83,137,19.54,14,102.5,739,19.54,14,102.5,739
East Jaintia Hills,1.05,15.21,11,1442.66,971,126.5,65,1.9,37,126.5,65,1.9,37
East Khasi Hills,0.95,31.56,29,3335.93,2348,397.15,253,151.84,584,397.18,255,151.81,582
North Garo Hills,6.2,12.68,13,204.6,181,61.7,62,171.22,1088,61.75,65,171.22,1088
Ri Bhoi,2.42,52.25,72,2162.49,1739,148.33,90,129.64,412,147.48,89,125.08,366
South Garo Hills,6.42,20.32,51,316.42,410,13.7,53,192.22,722,13.75,56,192.22,722
West Garo Hills,4.32,72.88,144,1686.37,1473,240.45,127,354.83,1590,240.45,127,354.83,1590
West Jaintia Hills,0.53,10.75,14,2014.13,1396,153.97,64,83.73,110,153.97,64,83.73,110
West Khasi Hills,1.16,20.69,36,1778.41,949,258.67,90,4.61,50,255.86,89,6.2,55
