district,Savings Linked No,Savings Linked Amount,Credit Linked No,Credit Linked Amount,CY Savings Linked No,CY Savings Linked Amount,CY Credit Linked No,CY Credit Linked Amount,SHG O/S No.,SHG O/S Amt.
Bishnupur,107,1.56,68,87.6,246,6.99,77,95.8,329,226.95
Chandel,34,0.73,0,0,34,0.73,0,0,6,1.9
Churachandpur,763,10420.76,0,0,817,21.67,6,5.14,168,43.98
Imphal East,125,20.38,62,102.94,207,26.01,133,170.94,306,290.89
Imphal West,1134,50.45,271,137.61,1162,35.77,876,332.32,365,304.51
Jiribam,3,1,0,0,8,2,0,0,0,0
Kakching,29,0.87,3,3,76,7.95,4,3.8,50,30.5
Kamjong,107,2.03,0,0,107,2.03,0,0,0,0
Kangpokpi,66,5.24,0,0,43,27.99,0,0,47,42.37
Noney,20,1.15,1,2,44,1.62,7,13,82,71.41
PHERZAWAL,3,0.05,0,0,3,0.05,0,0,0,0
Senapati,314,8.74,6,12.48,320,9.19,41,82.22,51,42.23
Tamenglong,17,3.08,0,0,22,4.08,0,0,1,2.91
Tengnoupal,145,8.56,25,33.61,145,10.86,40,51.15,48,74.11
Thoubal,289,28.28,44,41.61,452,73.62,109,108.31,319,230.48
Ukhrul,21,0.52,0,0,12,2.05,51,21.84,86,26.04
