district,CHRISTIANS No,Amt,MUSLIMS No,Amt,BUDDHISTS No,Amt,SIKHS No,Amt,ZORASTRIANS No,Amt,JAINS No,Amt,Tot Minority Disb No,Amt
Bishnupur,345,967.13,120,967.13,2,967.13,12,967.13,0,967.13,0,967.13,479,967.13
Chandel,2695,3056.57,100,3056.57,0,3056.57,0,3056.57,0,3056.57,0,3056.57,2795,3056.57
Churachandpur,6431,8938.29,139,8938.29,4,8938.29,5,8938.29,0,8938.29,0,8938.29,6579,8938.29
Imphal East,2131,5055.67,987,5055.67,3,5055.67,4,5055.67,0,5055.67,0,5055.67,3125,5055.67
Imphal West,3875,11705.55,1841,11705.55,11,11705.55,19,11705.55,0,11705.55,6,11705.55,5752,11705.55
Jiribam,221,377.72,451,377.72,1,377.72,0,377.72,0,377.72,0,377.72,673,377.72
Kakching,221,519,154,519,0,519,4,519,0,519,0,519,379,519
Kamjong,201,139.68,10,139.68,2,139.68,1,139.68,0,139.68,0,139.68,214,139.68
Kangpokpi,1141,1303.82,35,1303.82,0,1303.82,0,1303.82,0,1303.82,0,1303.82,1176,1303.82
Noney,442,584.88,7,584.88,0,584.88,2,584.88,0,584.88,0,584.88,451,584.88
PHERZAWAL,76,166.72,9,166.72,0,166.72,0,166.72,0,166.72,0,166.72,85,166.72
Senapati,7715,8066.49,74,8066.49,9,8066.49,4,8066.49,1,8066.49,0,8066.49,7803,8066.49
Tamenglong,195,447.59,4,447.59,0,447.59,0,447.59,0,447.59,0,447.59,199,447.59
Tengnoupal,1333,1852.17,124,1852.17,2,1852.17,0,1852.17,0,1852.17,0,1852.17,1459,1852.17
Thoubal,217,1654.42,892,1654.42,0,1654.42,4,1654.42,1,1654.42,0,1654.42,1114,1654.42
Ukhrul,1350,2275.34,10,2275.34,0,2275.34,0,2275.34,1,2275.34,0,2275.34,1361,2275.34
