District,CY SANCTION A/C No.,CY SANCTION Amt,CY DISBURSED A/C No.,CY DISBURSED Amt,PMEGP O/S No.,PMEGP O/S Amt,PMEGP NPA No.,PMEGP NPA Amt
Bishnupur,49,141.56,103,140.08,575,968.11,318,554.84
Chandel,5,14.25,6,9.11,199,303.14,84,139.31
Churachandpur,69,171.44,89,105.53,407,764.61,153,207.44
Imphal East,90,346.36,97,272.52,955,3054.55,327,932.19
Imphal West,85,408.92,113,244.12,969,2883.07,425,1097.93
Jiribam,0,0,0,0,35,54,6,15
Kakching,15,44.85,13,33.85,267,479.17,97,204.48
Kamjong,0,0,0,0,40,75.73,18,37.98
Kangpokpi,17,150.07,17,120.93,109,355.87,47,84.01
Noney,1,9,1,9,28,57.97,14,30.61
Pherzawl,0,0,0,0,4,8.17,0,0
Senapati,46,113.74,48,98.1,614,1072.32,194,319.21
Tamenglong,8,25,20,22.1,225,301.75,96,102
Tengnoupal,4,11.85,5,7.71,77,106.17,36,41.42
Thoubal,47,176.25,45,134.14,525,1021.74,127,234.55
Ukhrul,12,29.67,45,50,342,494.43,99,173.27
