district,Sishu No,Sishuamt,Kishoreno,Kishore Amt,Tarun No,Tarun Amt,Total MUDRA Disb No.,Total MUDRA Disb Amt.
Bishnupur,693,233.36,158,278.06,13,104.33,864,615.75
Chandel,72,31.08,13,21.41,4,36.5,89,88.99
Churachandpur,363,163.14,140,247.26,42,271.63,545,682.03
Imphal East,1760,503.53,511,975.53,279,1682.32,2550,3161.38
Imphal West,6422,1878.02,2235,2933.18,538,3615.23,9195,8426.43
Jiribam,2233,704.42,1146,1128.65,1,6,3380,1839.07
Kakching,814,275.33,125,136.07,13,77.29,952,488.69
Kamjong,0,0,1,3.3,0,0,1,3.3
Kangpokpi,76,24.1,143,262.59,18,134.39,237,421.08
Noney,19,7.83,61,92.27,2,13.5,82,113.6
Pherzawl,0,0.02,0,0,0,0,0,0.02
Senapati,23,9.42,94,257.04,25,208.28,142,474.74
Tamenglong,9,4.46,15,30.09,5,39.09,29,73.64
Tengnoupal,99,44.66,73,112.14,8,54.9,180,211.7
Thoubal,802,261.06,389,691.93,38,178.16,1229,1131.15
Ukhrul,21,9,36,51.54,2,15.7,59,76.24
