district,KCCs for AH and Allied Activities No,KCCs for AH and Allied Activities Amt,Farm Productio n A/C,Farm Productio n amt,Dairy no,Dairy Amt,Farm Mechanisat ion No,Farm Mechanisat ion Amt,Poultry No,Poultry Amt,fisheries no,fisheries Amt,Godown No,Godown Amt,Clinic No,Clinic Amt,Other No,Other Amt,Total IC- Agri Disb No.,Total IC- Agri Disb Amt.
Bishnupur,144,131.08,0,0,1,2,0,0,17,24.6,73,106.55,0,0,0,0,1,1.6,236,265.83
Chandel,3,0.37,0,0,0,0,2,0.18,3,0.37,0,0,0,0,0,0,0,0,8,0.92
Churachandpur,134,10.67,0,0,11,19.61,2,8.19,8,5.04,8,5.63,0,0,0,0,18,21.14,181,70.28
Imphal East,183,102.52,0,0,8,19.73,14,41.4,43,66.96,6,8.52,0,0,1,0.02,129,371.38,384,610.53
Imphal West,430,281.5,0,0,7,18.33,6,34.14,228,553.5,40,72.68,0,0,0,0,771,1425.07,1482,2385.22
Jiribam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kakching,159,62.16,0,0,2,3,0,0,12,40.2,13,7,0,0,0,0,2,3.15,188,115.51
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,24,40.06,0,0,4,2.42,5,24,0,0,4,10.04,0,0,0,0,5,3.81,42,80.33
Noney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHERZAWAL,0,0,0,0,0,0,1,0.02,0,0,0,0,0,0,0,0,0,0,1,0.02
Senapati,21,5.35,0,0,2,0.08,0,0,0,0,0,0,0,0,0,0,1,0.16,24,5.59
Tamenglong,12,6.14,0,0,4,6.08,1,0.15,4,5.01,0,0,0,0,0,0,7,9.35,28,26.73
Tengnoupal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,4
Thoubal,126,60.89,0,0,2,10.55,1,6.19,89,154.71,9,46.36,0,0,0,0,103,149.65,330,428.35
Ukhrul,6,5,0,0,1,3,0,0,2,0.7,36,4.55,0,0,0,0,24,29.6,69,42.85
