district,Self-Help Group,NRLM O/S,NRLM Irregular A/C,NRLM NPA
Bishnupur,5,3589,0,1
Chandel,6,6,1,0
Churachandpur,1,1,1,0
Imphal East,106,4357,6,23
Imphal West,6,2860,0,6
Jiribam,0,4144,0,0
Kakching,6,4453,2,0
Kamjong,0,0,0,0
Kangpokpi,18,0,0,0
Noney,0,6,0,5
Pherzawl,0,0,0,0
Senapati,17,10,1,0
Tamenglong,0,0,0,0
Tengnoupal,29,128,2,0
Thoubal,51,5194,0,39
Ukhrul,5,5,0,0
