district,Export Credit A/C,Export Credit Amt,Educatio n (PS) A/C,Educatio n (PS) Amt,Housing (PS) A/C,Housing (PS) Amt,Social Infrastru cture A/C,Social Infrastru cture Amt.,Renewa ble Energy A/C,Renewa ble Energy Amt,Informal Credit A/C,Informal Credit Amt,Total Other PS Disb No.,Total Other PS Disb Amt.
Bishnupur,0,0,10,11.41,48,232.64,0,0,0,0,1800,1002.63,1858,1246.68
Chandel,0,0,3,2.06,9,43.08,0,0,0,0,9,14.33,21,59.47
Churachandpur,0,0,9,6.24,130,559.76,4,8.91,0,0,128,42.86,271,617.77
Imphal East,0,0,43,79.82,593,1161.86,555,148.1,8,3.23,1847,888.44,3046,2281.45
Imphal West,0,0,77,153.14,916,2749.67,5,56.82,12,18.69,2020,785.48,3030,3763.8
Jiribam,0,0,0,0,0,0,0,0,0,0,1682,835.94,1682,835.94
Kakching,0,0,8,7.35,24,111.49,0,0,0,0,2170,769.81,2202,888.65
Kamjong,0,0,0,0,0,0,0,0,1,1.5,0,0,1,1.5
Kangpokpi,0,0,1,0.42,6,12.05,0,0,0,0,0,0,7,12.47
Noney,0,0,1,7.17,0,0,0,0,0,0,0,0,1,7.17
PHERZAWAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,0,0,17,19.21,64,310.15,6,0.51,0,0,136,13.26,223,343.13
Tamenglong,0,0,2,1,8,38,0,0,0,0,0,0,10,39
Tengnoupal,0,0,0,0,19,126.96,0,0,0,0,13,0.48,32,127.44
Thoubal,0,0,6,25.18,189,1826.98,140,42.12,0,0,2076,739.05,2411,2633.33
Ukhrul,0,0,0,0,2,12.13,0,0,0,0,85,9.37,87,21.5
