district,Current Year Disbursed KCC No.,Current Year Disbursed KCC Amount,Total O/S KCC No.,Total O/S KCC Amount.,Numberofrupaycard,Cardactivated,AH No. of KCC,AH Amountdisbursed,AH Totalno. of KCC,AH Outstandingamount.,AH Numberofrupaycard,AH Cardactivated,Fishery No. of KCC,Fishery Amountdisbursed,Fishery Totalno. of KCC,Fishery Outstandingamount.,Fishery Numberofrupaycard,Fishery Cardactivated
Bishnupur,205,133.32,5068,2068.86,4855,4811,86,74.02,155,136.69,114,114,89,33.95,120,186.6,52,52
Chandel,25,10.64,124,93.29,69,69,0,0,3,14.1,0,0,0,0,0,0,0,0
Churachandpur,374,419.55,1853,1042.3,1592,1063,8,4.7,136,314.75,12,11,0,0,18,40.04,0,0
Imphal East,226,271.5,5433,2955.54,4174,3615,92,76.73,377,168.94,364,364,4,3.41,5,10.26,1,1
Imphal West,315,525.71,10794,7015.34,6637,5805,82,76.87,419,313.64,292,292,15,4.95,53,80.18,34,34
Jiribam,0,0,68,29,32,25,0,0,0,0,0,0,0,0,0,0,0,0
Kakching,199,76.84,941,367.37,882,844,141,41.88,170,87.62,153,153,65,6.28,125,234.52,23,23
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,292,142.23,724,429.69,545,501,22,38.29,22,38.29,22,22,4,10.04,4,10.04,4,4
Noney,5,2.52,165,94.8,155,155,0,0,0,0,0,0,0,0,0,0,0,0
Pherzawl,4,1.83,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,325,183.69,1781,1138.98,858,658,1,1.6,2,5.03,0,0,0,0,1,0.16,0,0
Tamenglong,2,2.01,30,6.66,23,17,0,0,0,0,0,0,0,0,0,0,0,0
Tengnoupal,4,9.64,178,78.32,127,119,0,0,0,0,0,0,0,0,1,0.1,0,0
Thoubal,137,110.06,2899,1351.29,2475,2435,30,13.56,166,61.4,14,14,0,0,0,0,0,0
Ukhrul,30,26.15,487,311.64,287,278,1,0.5,5,6.25,0,0,0,0,0,0,0,0
