District,Agri PS NPA,MSME PS NPA,Other PS NPA
Bishnupur,521,1257,67
Chandel,65,170,4
Churachandpur,755,361,69
Imphal East,2848,2164,63
Imphal West,7798,5462,376
Jiribam,0,9,4
Kakching,373,240,5
Kamjong,0,0,0
Kangpokpi,23,58,3
Noney,121,78,0
Pherzawl,63,129,1
Senapati,571,471,9
Tamenglong,27,173,12
Tengnoupal,5,169,1
Thoubal,739,803,79
Ukhrul,184,286,8
