District,Housing Loan (PS) O/S No.,Housing Loan (PS) O/S Amt,Housing Loan (NPS) O/S No.,Housing Loan (NPS) O/S Amt,Rural Housing Loan O/S No.,Rural Housing Loan O/S Amt,Housing Loan Eligibleunder PMAY O/S No.,Housing Loan Eligibleunder PMAY O/S Amt,Current Year Disbursed under PMAY No.,Current Year Disbursed under PMAY Amt,PMAY O/S No.,PMAY O/S Amt
Bishnupur,192,2665.87,45,1072.56,3,41.19,3,6,0,0,3,125.3
Chandel,63,764.97,23,632.6,75,1226.79,0,0,0,0,0,0
Churachandpur,712,7436.96,140,4684.23,194,2155.21,8,64.64,3,37.64,8,64.64
Imphal East,754,8389.59,178,4351.35,403,6884.66,7,37.5,4,30.5,9,52.98
Imphal West,2775,31246.99,899,23195.64,89,1466.56,37,482.9,12,87.72,26,184.17
Jiribam,0,0,1,3,0,0,0,0,0,0,0,0
Kakching,194,2534.19,79,2053.88,14,159.91,19,38,2,18,13,38
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,182,2015.3,56,1386.4,198,2873.95,6,0,0,0,0,0
Noney,0,0,1,21.31,1,21.31,0,0,0,0,0,44.62
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,258,2739.93,63,2017.68,320,4742.61,6,0,0,0,0,0
Tamenglong,57,337.06,32,602.11,0,0,0,0,0,0,0,0
Tengnoupal,53,726.21,14,441.18,53,969.4,6,0,0,0,0,0
Thoubal,366,4113.2,81,1805.73,5,50.57,13,48.6,0,0,13,159.74
Ukhrul,12,90.13,0,0,0,0,0,0,0,0,0,0
