district,Sishu O/S No.,Sishu O/S Amt.,Sishu NPA No.,Sishu NPA Amt.,Kishore O/S No.,Kishore O/S Amt.,Kishore NPA No.,Kishore NPA Amt.,Tarun O/S No.,Tarun O/S Amt.,Tarun NPA No.,Tarun NPA Amt.,Total MUDRA O/S No.,Total MUDRA O/S Amt.,Total MUDRA NPA No.,Total MUDRA NPA Amt.
Bishnupur,3245,806.84,420,146.94,2175,1960.9,292,338.04,46,311.63,9,67.38,5466,3079.37,721,552.36
Chandel,119,41.58,10,3.84,144,229.48,54,85.13,8,37.52,3,14.9,271,308.58,67,103.87
Churachandpur,1240,380.81,80,20.2,756,1115.25,84,104.79,104,606.89,3,25.06,2100,2102.95,167,150.05
Imphal East,8376,1870.04,621,228.26,2999,3149.88,240,426.57,393,2108.74,32,170.66,11768,7128.66,893,825.49
Imphal West,12870,3375.94,1524,684.68,5357,6092.79,642,1169.16,757,4213.22,127,792.19,18984,13681.95,2293,2646.03
Jiribam,3196,784.36,0,0,2669,1544.28,32,0,2,9.12,0,0,5867,2337.76,32,0
Kakching,2609,661,132,41.47,2080,1595.9,165,268.69,44,265.76,8,56.92,4733,2522.66,305,367.08
Kamjong,55,14.9,45,13.64,38,79.11,16,37.38,0,0,0,0,93,94.01,61,51.02
Kangpokpi,133,42.05,7,1.5,305,552.22,24,21.59,23,168.38,1,8.35,461,762.65,32,31.44
Noney,151,52.89,71,23.72,393,442.89,40,38.24,2,4.29,0,0,546,500.07,111,61.96
Pherzawl,4,1.32,1,0.49,4,8.17,0,0,0,0,0,0,8,9.49,1,0.49
Senapati,283,70.17,94,20.83,866,1468.78,265,443.92,88,489.99,10,44.28,1237,2028.94,369,509.03
Tamenglong,146,29.97,14,2.5,240,344.52,12,17.38,23,148.6,0,0,409,523.09,26,19.88
Tengnoupal,224,67.97,32,5.51,325,348.57,39,44.09,5,26.45,1,5.22,554,442.99,72,54.82
Thoubal,6234,1499.74,300,110.38,2636,2587.23,192,249.26,113,632.17,11,60.82,8983,4719.14,503,420.46
Ukhrul,211,58.64,29,10.58,246,388.19,43,98.98,25,182.64,14,104.01,482,629.47,86,213.57
