district,Sanctioned No,of which girl student Sanctioned No,Sanctioned Amt,of which girl student Sanctioned Amt,Disb. Number,of which girl student Disb No,Disb. Amt,of which girl student Disb Amt,OS No,of which girl student OS No,OS amt,of which girl student OS Amt
Bishnupur,1,0,1.71,0,10,5,30.25,13.98,21,7,92.76,27.02
Chandel,0,0,0,0,3,2,5.4,3.3,9,6,22.3,16.15
Churachandpur,4,4,3.7,3.7,14,10,1086.29,5.51,67,38,118.4,51.15
Imphal East,3,1,29.29,7.5,40,13,151.59,44.15,175,75,795.2,341.09
Imphal West,20,14,86.22,67.67,90,50,334.2,197.39,470,213,2271.29,1085.57
Jiribam,0,0,0,0,0,0,0,0,1,1,0.5,0.5
Kakching,2,2,5.25,5.25,2,2,1.9,1.9,9,5,15.57,7.13
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,2,1,42.65,42,7,2,35.76,23.64,11,4,51.06,27.25
Noney,0,0,0,0,1,1,1.09,1.09,2,1,2.35,1.09
PHERZAWAL,1,1,7.02,7.02,1,1,7.02,7.02,1,1,7.02,7.02
Senapati,2,1,1.15,0.62,17,10,65.14,35.42,65,37,248.55,127.98
Tamenglong,0,0,0,0,2,1,1,0.5,5,3,9.82,4.02
Tengnoupal,0,0,0,0,0,0,0,0,2,0,4.35,0
Thoubal,2,2,15.03,14.19,4,2,26.46,23.56,29,10,117.41,60.46
Ukhrul,0,0,0,0,0,0,0,0,5,3,13.94,7.48
