District,Rural No.,Urban No.,Male No.,Female No.,Total PMJDY No.,No. of Zero Balance A/C,Amt Deposits Held In The A/C,No. of Rupay Card Issued,No. of Rupay Card Activated,No. of Aadhaar Seeded
Bishnupur,110728,23685,58890,84336,143226,47007,13355.74,111776,94387,100201
Chandel,13509,0,6181,7325,13506,8344,5351.76,11624,8248,8203
Churachandpur,59279,30661,45549,47709,93258,54555,10977.36,77370,58461,48205
Imphal East,91278,62196,92364,101144,193508,71471,7060.78,107710,85461,102983
Imphal West,47896,138830,96642,122350,218992,94822,17369.46,257660,116715,146079
Jiribam,20113,0,9142,11865,21007,7856,243,4865,4228,4112
Kakching,25246,19009,44644,60491,105135,32466,5779.24,73695,62996,40965
Kamjong,2039,0,997,1040,2037,2039,72.72,2379,1524,577
Kangpokpi,18219,966,12314,12072,24386,16568,3325.96,16741,12842,9708
Noney,8948,0,4749,4198,8947,3554,517.76,8761,7746,4686
Pherzawl,173,0,92,81,173,173,11.06,216,149,143
Senapati,43331,0,25943,28779,54722,33875,6252.06,45809,29235,13699
Tamenglong,8845,859,14522,13639,28161,11560,913.14,20823,16016,2453
Tengnoupal,8445,2040,12785,14091,26876,8717,2718.6,13818,9724,10233
Thoubal,65893,52130,65355,87250,152605,70423,2803.6,115445,100676,89335
Ukhrul,4719,17634,22071,23590,45661,30959,4241.34,36724,28276,21895
