district,Micro TL A/C,Micro TL Amt,Micro WC A/C,Micro WC Amt,Small TL A/C,Small TL Amt,Small WC A/C,Small WC Amt,Medium TL A/C,Medium TL Amt,Medium WC A/C,Medium WC Amt,KVIC TL A/C,KVIC TL Amt,KVIC WC A/C,KVIC WC Amt,Othersunder MSMEs A/C,Othersunder MSMEs Amt,Tot MSME (PS) Disb No.,Tot MSME (PS) Disb Amt
Bishnupur,2688,1450.98,163,124.89,6,60.69,0,15.23,2,1.48,0,0,1,0.31,0,0,20,15,2880,1668.58
Chandel,208,66,54,13.26,1,3.18,0,0,0,0,0,0,0,0,0,0,0,0,263,82.44
Churachandpur,839,968.77,171,477.49,25,234.66,6,60.86,0,0,0,0,7,16.07,0,0,38,12.62,1086,1770.47
Imphal East,4735,2752.26,354,332.41,102,1615.25,20,473.31,5,301.78,0,0,16,58.27,19,74.61,154,44.55,5405,5652.44
Imphal West,5760,6866.66,766,2668.61,406,6953.51,139,3033.93,41,2683.37,7,608.64,29,55.96,17,38.6,727,1534.66,7892,24443.94
Jiribam,1552,785.68,0,0,4,6,0,0,0,0,0,0,0,0,0,0,25,15,1581,806.68
Kakching,2858,1499.21,191,281.03,32,281.6,12,108.92,0,0,0,0,4,19.25,3,4.12,35,30,3135,2224.13
Kamjong,41,5.3,14,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,7.07
Kangpokpi,215,323.74,31,65.39,4,2.93,0,0,0,0,0,0,14,121.36,4,12,10,6.83,278,532.25
Noney,77,87.89,7,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,94.99
Pherzawl,6,1.33,2,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1.77
Senapati,549,579.83,98,68.47,41,237.56,11,63.34,0,0,0,0,3,6.64,0,0,115,15,817,970.84
Tamenglong,90,98.69,13,28,1,0.85,0,0,0,0,0,0,0,0,0,0,5,20,109,147.54
Tengnoupal,271,153.63,61,50.23,1,3.5,0,0,0,0,0,0,0,0,0,0,6,6.5,339,213.86
Thoubal,3294,1488.29,225,331.12,20,149.01,4,52.29,2,108,0,0,18,57.74,0,0,20,30,3583,2216.45
Ukhrul,244,250.59,16,5.42,4,25,0,0,0,0,0,0,0,0,0,0,15,15,279,296.01
