District,Agriculture (NPS) No.,Agriculture (NPS) Amt,MSME (NPS) No.,MSME (NPS) Amt,Exp Credit (NPS) A/C,Exp Credit (NPS) Amt,Education (NPS) A/C,Education (NPS) Amt,Housing (NPS) A/C,Housing (NPS) Amt,Personal Loansunder NPS A/C,Personal Loansunder NPS Amt,Others NPS A/C,Others NPS Amt,Total ACP (NPS) Disb No.,Total ACP (NPS) Disb Amt
Bishnupur,0,0,0,0,0,0,0,0,36,337.32,160,341.94,324,2141.92,520,2821.18
Chandel,0,0,0,0,0,0,0,0,21,165.51,12,37.69,26,60.68,59,263.88
Churachandpur,0,0,0,0,0,0,0,0,88,894.63,321,1080.57,936,2154.52,1345,4129.72
Imphal East,0,0,0,0,3,29.25,0,0,169,1111.23,578,1964.65,3354,7876.25,4104,10981.38
Imphal West,2,2101.48,0,0,5,19.25,0,0,494,4333.69,2417,8523.08,10052,29518.31,12970,44495.81
Jiribam,0,0,0,0,0,0,0,0,0,0,73,221.61,25,55.02,98,276.63
Kakching,0,0,0,0,0,0,0,0,42,448.35,94,358.52,38,95.28,174,902.15
Kamjong,0,0,0,0,0,0,0,0,0,0,3,1.93,0,0,3,1.93
Kangpokpi,0,0,2,12,0,0,0,0,3,34.24,38,91.71,12,86.34,55,224.29
Noney,0,0,0,0,0,0,0,0,0,0,5,15.63,2,4,7,19.63
Pherzawl,0,0,0,0,0,0,0,0,0,0,1,10,0,0,1,10
Senapati,1,0.86,0,0,0,0,0,0,88,615.06,116,345.03,193,676.36,398,1637.31
Tamenglong,0,0,0,0,0,0,0,0,0,0,67,293.76,3,45,70,338.76
Tengnoupal,0,0,0,0,0,0,0,0,10,163.18,61,196.15,29,93.66,100,452.99
Thoubal,0,0,4,29,1,16.18,0,0,70,627.66,348,934.48,1803,3664.19,2226,5271.51
Ukhrul,0,0,0,0,0,0,0,0,0,0,174,493.28,14,83.82,188,577.1
