district,Export No,Export Amt,Education PS No,Education PS Amt,Housing PS No,Housing PS Amt,Social Infra No,Social Infra Amt,Renewabl e No,Renewabl e Amt,Other PS No,Other PS Amt,Tot Other (PS) NPA No.,Tot Other (PS) NPA Amt.
Bishnupur,0,0,5,14.41,7,38.21,0,0,0,0,55,12.42,67,65.04
Chandel,0,0,2,3.51,0,0,0,0,0,0,2,0.6,4,4.11
Churachandpur,0,0,4,6.85,17,97.21,1,0.13,0,0,47,48.56,69,152.75
Imphal East,0,0,10,52.24,33,175.62,0,0,1,13.76,19,23.4,63,265.02
Imphal West,0,0,56,182.99,108,365.61,0,0,0,0,212,259.59,376,808.19
Jiribam,0,0,0,0,0,0,0,0,0,0,4,1.2,4,1.2
Kakching,0,0,0,0,1,5.2,0,0,0,0,4,3.12,5,8.32
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,0,0,0,0,2,17.81,0,0,0,0,1,0,3,17.81
Noney,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHERZAWAL,0,0,0,0,1,0.95,0,0,0,0,0,0,1,0.95
Senapati,0,0,5,18.57,3,3.39,0,0,0,0,1,0,9,21.96
Tamenglong,0,0,0,0,0,0,0,0,0,0,12,13,12,13
Tengnoupal,0,0,0,0,0,0,0,0,0,0,1,0.03,1,0.03
Thoubal,0,0,2,7.29,4,27.13,0,0,0,0,73,74.88,79,109.3
Ukhrul,0,0,0,0,0,0,0,0,0,0,8,5.62,8,5.62
