district,O/S No.,O/S Amt.,CY Disb No.,CY Disb Amt.
Bishnupur,10108,7706.72,3064,3226.24
Chandel,1212,3609.08,618,1008.11
Churachandpur,4407,7914.86,1344,2223.41
Imphal East,24801,27964.26,7173,8485.13
Imphal West,43803,70498.21,12245,21452.72
Jiribam,5309,2192.65,1625,735.58
Kakching,7377,5030.76,3069,1303.74
Kamjong,79,83,36,23.47
Kangpokpi,872,1687.93,259,530.95
Noney,502,416.36,133,146.87
PHERZAWAL,4,3.57,3,1.03
Senapati,3900,9823.38,1407,2660.23
Tamenglong,519,617.75,60,94.1
Tengnoupal,991,1699.69,415,598.07
Thoubal,13228,9516.82,3993,3111.67
Ukhrul,1108,2260.76,401,747.16
