district,Disbursement,Outstanding
Bishnupur,44,213
Chandel,0,1
Churachandpur,4,39
Imphal East,747,3311
Imphal West,425,5365
Jiribam,0,0
Kakching,33,33
Kamjong,0,0
Kangpokpi,34,34
Noney,0,0
Pherzawl,0,0
Senapati,0,8
Tamenglong,0,0
Tengnoupal,1,0
Thoubal,191,494
Ukhrul,3,14
