district,Sep-I No.,Sep-I Amt,Sep-G No,Sep-G Amt.,Sep-G No. of Beneficiary,SHG No.,SHG Amt,SHG No. of Beneficiary,Women SHG No.,Women SHG Amt.,Women SHG No. of Beneficiary
Bishnupur,0,0,0,0,0,0,0,0,0,0,0
Chandel,0,0,0,0,0,0,0,0,0,0,0
Churachandpur,0,0,0,0,0,0,0,0,0,0,0
Imphal East,0,0,0,0,0,16,9,10,16,9,25
Imphal West,0,0,0,0,0,1,2,15,6,9,15
Jiribam,0,0,0,0,0,0,0,0,0,0,0
Kakching,0,0,0,0,0,0,0,0,0,0,0
Kamjong,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,0,0,0,0,0,0,0,0,0,0,0
Noney,0,0,0,0,0,0,0,0,0,0,0
Pherzawl,0,0,0,0,0,0,0,0,0,0,0
Senapati,0,0,0,0,0,0,0,0,0,0,0
Tamenglong,0,0,0,0,0,0,0,0,0,0,0
Tengnoupal,0,0,0,0,0,0,0,0,2,2,0
Thoubal,0,0,0,0,0,41,41,410,41,41,410
Ukhrul,0,0,0,0,0,0,0,0,0,0,0
