District,Micro No.,Micro Amt,Small No.,Small Amt,Medium No.,Medium Amt,KVIC No.,KVIC Amt,Other Msme No.,Other Msme Amt,Total Msme (PS) NPA No.,Total Msme (PS) NPA Amt
Bishnupur,1240,1191.05,10,3.56,0,0,7,12.35,0,0,1257,1206.96
Chandel,170,212.74,0,0,0,0,0,0,0,0,170,212.74
Churachandpur,333,421.94,6,24.6,0,0,21,25.85,1,1.05,361,473.44
Imphal East,2040,1962.34,81,458.34,0,0,29,61.71,14,0.73,2164,2483.12
Imphal West,5060,4929,116,1012.83,0,0,53,111.65,233,318.23,5462,6371.71
Jiribam,1,0.26,1,1.68,0,0,7,16,0,0,9,17.94
Kakching,211,170.75,0,0,0,0,29,87.56,0,0,240,258.31
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,58,77.89,0,0,0,0,0,0,0,0,58,77.89
Noney,78,34.19,0,0,0,0,0,0,0,0,78,34.19
Pherzawl,129,57.64,0,0,0,0,0,0,0,0,129,57.64
Senapati,468,671.1,1,7.63,0,0,2,2.56,0,0,471,681.29
Tamenglong,168,177.32,0,0,0,0,5,1.16,0,0,173,178.48
Tengnoupal,169,154.03,0,0,0,0,0,0,0,0,169,154.03
Thoubal,788,896.85,2,23.72,0,0,12,10.02,1,0.01,803,930.6
Ukhrul,276,361.81,6,27.88,0,0,4,4.56,0,0,286,394.25
